"wi","wh","num connections","train time(us)","train mse","test time(us)","test mse"
"101000010","010",4,00:02:21.18,0.03,00:00:06.64,0.016346511840
"011010100","100",5,00:02:51.24,0.03,00:00:03.45,0.016346511870
"010010011","001",5,00:02:34.84,0.03,00:00:07.22,0.016346511918
"001011111","100",7,00:02:58.91,0.03,00:00:08.21,0.016346511969
"000000011","101",4,00:02:49.61,0.03,00:00:06.07,0.016346512109
"110100011","001",6,00:02:45.83,0.03,00:00:06.18,0.016346512128
"100100110","011",6,00:02:54.98,0.03,00:00:06.69,0.016346512174
"010000110","100",4,00:02:44.94,0.03,00:00:06.27,0.016346512185
"010010111","001",6,00:02:47.13,0.03,00:00:05.23,0.016346512196
"000011110","100",5,00:02:51.02,0.03,00:00:05.33,0.016346512227
"000000011","110",4,00:02:38.22,0.03,00:00:06.37,0.016346512262
"010000001","001",3,00:02:40.58,0.03,00:00:06.69,0.016346512354
"010110101","001",6,00:02:46.10,0.03,00:00:03.58,0.016346512369
"000000010","011",3,00:02:44.95,0.03,00:00:06.65,0.016346512389
"001001100","100",4,00:02:36.62,0.03,00:00:05.15,0.016346512424
"010000100","100",3,00:02:51.57,0.03,00:00:06.59,0.016346512596
"000000001","101",3,00:02:38.66,0.03,00:00:04.16,0.016346512613
"010110011","001",6,00:02:51.89,0.03,00:00:06.51,0.016346512710
"100001110","010",5,00:02:11.58,0.03,00:00:03.83,0.016346512803
"001000111","010",5,00:02:33.13,0.03,00:00:06.43,0.016346512839
"010010101","001",5,00:02:44.56,0.03,00:00:05.53,0.016346512845
"000010011","101",5,00:02:38.99,0.03,00:00:04.51,0.016346512854
"001000010","010",3,00:02:42.54,0.03,00:00:06.77,0.016346512914
"100101011","010",6,00:02:47.81,0.03,00:00:06.09,0.016346512957
"100100001","001",4,00:02:53.92,0.03,00:00:04.46,0.016346512965
"110100111","001",7,00:02:40.78,0.03,00:00:06.80,0.016346513050
"110010101","001",6,00:02:57.33,0.03,00:00:00.95,0.016346513057
"100001010","010",4,00:02:36.17,0.03,00:00:07.43,0.016346513059
"011011110","100",7,00:02:56.12,0.03,00:00:06.94,0.016346513115
"100000011","010",4,00:02:28.31,0.03,00:00:06.72,0.016346513226
"000010001","101",4,00:02:47.20,0.03,00:00:07.36,0.016346513242
"000010001","001",3,00:02:37.25,0.03,00:00:05.30,0.016346513316
"101101111","010",8,00:03:21.55,0.03,00:00:10.31,0.016346513355
"000010110","100",4,00:02:34.84,0.03,00:00:08.79,0.016346513414
"000001011","110",5,00:02:40.55,0.03,00:00:05.18,0.016346513496
"000010011","001",4,00:02:32.96,0.03,00:00:07.37,0.016346513496
"000001111","100",5,00:02:49.41,0.03,00:00:06.94,0.016346513525
"100000011","001",4,00:02:27.57,0.03,00:00:06.92,0.016346513674
"000001100","100",3,00:02:33.05,0.03,00:00:06.24,0.016346513760
"000000110","101",4,00:02:48.54,0.03,00:00:07.20,0.016346513767
"011001100","100",5,00:02:16.59,0.03,00:00:06.79,0.016346513873
"000011100","100",4,00:02:44.26,0.03,00:00:08.62,0.016346513905
"001001101","110",6,00:02:48.03,0.03,00:00:05.75,0.016346513910
"110110011","001",7,00:02:56.27,0.03,00:00:07.06,0.016346513914
"000001010","110",4,00:02:47.74,0.03,00:00:03.99,0.016346513945
"110000111","001",6,00:03:06.60,0.03,00:00:06.42,0.016346514169
"010000111","001",5,00:02:42.65,0.03,00:00:04.76,0.016346514199
"101000011","010",5,00:02:40.12,0.03,00:00:07.31,0.016346514205
"010011100","100",5,00:02:40.77,0.03,00:00:05.27,0.016346514244
"100000110","011",5,00:02:52.36,0.03,00:00:04.09,0.016346514261
"011011100","100",6,00:02:45.69,0.03,00:00:05.25,0.016346514312
"000110001","001",4,00:02:41.61,0.03,00:00:10.90,0.016346514392
"010011110","100",6,00:03:00.31,0.03,00:00:07.04,0.016346514539
"100100011","010",5,00:02:59.59,0.03,00:00:05.98,0.016346514551
"000000010","010",2,00:02:28.74,0.03,00:00:06.47,0.016346514604
"001010100","100",4,00:02:51.65,0.03,00:00:05.89,0.016346514614
"110010001","001",5,00:02:36.45,0.03,00:00:06.61,0.016346514643
"000010100","100",3,00:02:36.42,0.03,00:00:04.17,0.016346514848
"000100101","001",4,00:02:46.23,0.03,00:00:02.66,0.016346514876
"010010101","100",5,00:02:48.39,0.03,00:00:05.29,0.016346514991
"100101010","010",5,00:02:44.81,0.03,00:00:07.76,0.016346515014
"000000101","001",3,00:02:26.85,0.03,00:00:06.07,0.016346515023
"000100101","011",5,00:02:50.23,0.03,00:00:06.24,0.016346515089
"000001101","100",4,00:02:41.58,0.03,00:00:04.91,0.016346515141
"100000111","010",5,00:02:32.12,0.03,00:00:01.53,0.016346515150
"000000111","010",4,00:02:49.00,0.03,00:00:08.02,0.016346515253
"010000101","100",4,00:02:46.08,0.03,00:00:03.28,0.016346515281
"100010001","001",4,00:02:22.64,0.03,00:00:04.73,0.016346515309
"000000101","011",4,00:02:43.17,0.03,00:00:07.21,0.016346515311
"101001111","010",7,00:02:44.22,0.03,00:00:06.13,0.016346515396
"011000110","100",5,00:02:57.01,0.03,00:00:09.57,0.016346515526
"100001111","010",6,00:03:06.34,0.03,00:00:09.25,0.016346515529
"010011101","100",6,00:02:48.27,0.03,00:00:07.00,0.016346515652
"000010101","001",4,00:02:26.56,0.03,00:00:07.62,0.016346515664
"001100010","010",4,00:02:57.94,0.03,00:00:07.34,0.016346515830
"000001011","010",4,00:02:44.83,0.03,00:00:06.78,0.016346515836
"100000010","011",4,00:02:16.88,0.03,00:00:02.90,0.016346516174
"010010001","101",5,00:02:28.05,0.03,00:00:06.61,0.016346516282
"000000100","111",4,00:02:53.61,0.03,00:00:07.01,0.016346516376
"010010100","100",4,00:02:41.18,0.03,00:00:07.47,0.016346516518
"000001010","010",3,00:02:48.30,0.03,00:00:05.62,0.016346516675
"101000111","010",6,00:02:42.01,0.03,00:00:06.82,0.016346516763
"001001101","100",5,00:02:58.68,0.03,00:00:07.83,0.016346516923
"001010110","100",5,00:02:44.43,0.03,00:00:07.56,0.016346517095
"000100001","001",3,00:02:37.40,0.03,00:00:05.93,0.016346517207
"001011110","100",6,00:02:45.86,0.03,00:00:02.03,0.016346517293
"001001011","110",6,00:02:42.43,0.03,00:00:05.76,0.016346517420
"000100111","001",5,00:02:36.97,0.03,00:00:10.97,0.016346517681
"000011101","100",5,00:02:43.88,0.03,00:00:06.99,0.016346517719
"110110101","001",7,00:02:46.97,0.03,00:00:06.94,0.016346517925
"011011111","100",8,00:03:00.70,0.03,00:00:07.29,0.016346517969
"001100011","010",5,00:02:35.69,0.03,00:00:06.95,0.016346518351
"000100011","010",4,00:02:27.86,0.03,00:00:08.16,0.016346518361
"101100011","010",6,00:02:55.60,0.03,00:00:05.40,0.016346518388
"101100010","010",5,00:02:54.46,0.03,00:00:04.44,0.016346518437
"000000011","010",3,00:02:51.13,0.03,00:00:06.34,0.016346518545
"100110101","001",6,00:02:36.68,0.03,00:00:05.58,0.016346518577
"001000111","100",5,00:02:43.44,0.03,00:00:08.65,0.016346518820
"010010110","101",6,00:02:42.74,0.03,00:00:04.61,0.016346518951
"001010111","100",6,00:02:41.44,0.03,00:00:05.20,0.016346519043
"100110011","001",6,00:02:41.86,0.03,00:00:05.67,0.016346519305
"000100010","011",4,00:02:41.27,0.03,00:00:04.85,0.016346519336
"010000011","101",5,00:02:36.58,0.03,00:00:09.37,0.016346519690
"001101010","010",5,00:02:40.59,0.03,00:00:04.93,0.016346520338
"011011101","100",7,00:03:06.25,0.03,00:00:05.53,0.016346520650
"000001100","110",4,00:02:45.50,0.03,00:00:06.75,0.016346520704
"000001101","110",5,00:02:38.22,0.03,00:00:06.41,0.016346520854
"100000101","001",4,00:02:13.36,0.03,00:00:08.71,0.016346520906
"100110001","001",5,00:02:38.29,0.03,00:00:06.66,0.016346521629
"100110111","001",7,00:03:02.61,0.03,00:00:05.71,0.016346521817
"100010111","001",6,00:02:27.10,0.03,00:00:08.90,0.016346522021
"100100101","011",6,00:03:11.72,0.03,00:00:07.11,0.016346522390
"101101011","010",7,00:02:44.77,0.03,00:00:03.80,0.016346522428
"100000010","010",3,00:02:17.21,0.03,00:00:08.91,0.016346523183
"000000101","100",3,00:02:26.80,0.03,00:00:07.10,0.016346523499
"010000011","001",4,00:02:46.13,0.03,00:00:03.00,0.016346523512
"001000010","110",4,00:02:47.65,0.03,00:00:04.22,0.016346523655
"000000010","111",4,00:02:44.07,0.03,00:00:02.50,0.016346523898
"000000011","001",3,00:02:36.62,0.03,00:00:04.56,0.016346523913
"000100011","001",4,00:02:42.78,0.03,00:00:06.71,0.016346524330
"011001101","100",6,00:02:48.72,0.03,00:00:06.56,0.016346524479
"100100110","010",5,00:02:35.71,0.03,00:00:06.20,0.016346524851
"100001011","010",5,00:02:48.34,0.03,00:00:05.20,0.016346525794
"010100101","001",5,00:02:43.11,0.03,00:00:05.96,0.016346525834
"110110001","001",6,00:02:45.14,0.03,00:00:05.79,0.016346525950
